experiment,method,seed,mean_utility,cew,ruin_prob,surplus_ratio,adaptation_lag,wealth_terminal,theta_std,sharpe,max_drawdown,regime_detection_acc,turnover,theta_stability,mean_welfare,avg_cost,avg_cost_no_theta,fill_rate,ending_backlog,avg_inventory,avg_order,service_breach_count
exp2_hidden_regime,nbo_full_ndu,20290528,0.01131620083874118,0.011380471242929735,,,0.5,1.0100457795162485,,1.4428989265872643,0.0,0.5924479166666666,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290529,0.011320391967215999,0.01138471007730435,,,0.5,1.01004950192578,,1.4434310045284913,0.0,0.6065266927083334,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290530,0.011318744752974152,0.011383044111378027,,,0.5,1.0100480392283862,,1.4432219107061353,0.0,0.611572265625,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290531,0.011327789029460883,0.011392191380628303,,,0.5,1.010056069062447,,1.4443696316964107,0.0,0.604736328125,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290532,0.011323664500172779,0.011388019872515809,,,0.5,1.0100524071847885,,1.4438462270856816,0.0,0.6050618489583334,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290533,0.011323488950681644,0.011387842323879127,,,0.5,1.0100522527610212,,1.4438241206903162,0.0,0.61376953125,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290534,0.011314356483119166,0.01137860589939188,,,0.5,1.0100441426341886,,1.4426649584962425,0.0,0.599853515625,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290535,0.011324993426216037,0.011389363933288488,,,0.5,1.0100535872930236,,1.4440148582771286,0.0,0.6012369791666667,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290536,0.011320053121035168,0.011384367373516113,,,0.5,1.010049199902023,,1.4433878107584754,0.0,0.6000162760416667,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290537,0.011317275587104906,0.01138155822302056,,,0.5,1.0100467341058352,,1.4430353533908757,0.0,0.5913899739583335,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290538,0.011318855732170379,0.011383156353861779,,,0.5,1.010048138743478,,1.443236096565112,0.0,0.6088053385416667,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290539,0.01131451807517455,0.011378769330152805,,,0.5,1.0100442862459278,,1.4426854598259444,0.0,0.6004231770833334,,,,,,,,,,
