experiment,method,seed_index,seed,param_dim,iterations,population,evaluation_budget,best_in_search_utility,mean_utility,cew,ruin_prob,surplus_ratio,adaptation_lag,wealth_terminal,sharpe,max_drawdown,regime_detection_acc,turnover,theta_stability
exp2,same_dim_oracle_joint_action_rl,11,11223,18,33,68,2244,-0.12133394685951718,-0.10739601362218407,-0.10183008496893231,,,0.19425455729166666,,0.44996379354627597,-0.06976663594080379,1.0,,
exp2,same_dim_oracle_joint_action_rl,12,12223,18,33,68,2244,-0.1069806251607373,-0.11240047176838923,-0.10631371030167858,,,0.20963541666666666,,0.3899419107889799,-0.07209993194892922,1.0,,
exp2,same_dim_oracle_joint_action_rl,13,13223,18,33,68,2244,-0.11383710044490264,-0.1039413157747241,-0.09872181331854957,,,0.16878255208333334,,0.5697301459738314,-0.06939016082676552,1.0,,
exp2,same_dim_oracle_joint_action_rl,14,14223,18,33,68,2244,-0.12104011468662797,-0.1251183257773107,-0.11760751336970587,,,0.19148763020833334,,0.260459094685894,-0.07667564488271339,1.0,,
exp2,same_dim_oracle_joint_action_rl,15,15223,18,33,68,2244,-0.10747508960920549,-0.1160060132076765,-0.10953013129887668,,,0.18587239583333334,,0.43580464137590613,-0.07618088343990656,1.0,,
exp2,same_dim_oracle_joint_action_rl,16,16223,18,33,68,2244,-0.11505910807815962,-0.10386346400241633,-0.09865164448302544,,,0.18994140625,,0.5307997590230642,-0.06961551723545525,1.0,,
exp2,same_dim_oracle_joint_action_rl,17,17223,18,33,68,2244,-0.1134471450721499,-0.13116005090155314,-0.12292261386967263,,,0.20328776041666666,,0.33093550580503067,-0.0766466631026715,1.0,,
exp2,same_dim_oracle_joint_action_rl,18,18223,18,33,68,2244,-0.10904844786669018,-0.11272272983838155,-0.10660166152078132,,,0.18546549479166666,,0.449794444557206,-0.07217146538540582,1.0,,
exp2,same_dim_oracle_joint_action_rl,19,19223,18,33,68,2244,-0.1216394583897849,-0.11888298984843143,-0.11208831063482694,,,0.18595377604166666,,0.3912912454188435,-0.07507056761247806,1.0,,
exp2,same_dim_oracle_joint_action_rl,20,20223,18,33,68,2244,-0.11409073401106926,-0.11172125399768694,-0.10570649650042452,,,0.176025390625,,0.46639657542389,-0.07160273068524314,1.0,,
