audit,method,seed,param_dim,policy_evaluations,search_mean_welfare,theta_cost_multiplier,evaluation_variant,mean_welfare,mean_welfare_no_theta_cost,avg_cost,avg_cost_no_theta,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,theta_mean_abs_deviation_from_one,service_breach_count
equal_budget_inventory,action_only_adaptive_base_stock,8161,7,192,-3.778442147146672,1.0,normal,-3.6875501928609005,-3.6875501928609005,4.281494145288415,4.281494145288415,0.9997898690534394,0.19404044704942033,8.273789011258193,22.83127794836483,0.0,0.0,1.4791666666666667
equal_budget_inventory,action_only_adaptive_base_stock,9161,7,192,-3.8525828802654374,1.0,normal,-3.669480080916584,-3.669480080916584,4.259087898712582,4.259087898712582,0.9995115240994997,0.44119791150510085,8.099416655040235,22.79198619826955,0.0,0.0,1.5494791666666667
equal_budget_inventory,action_only_adaptive_base_stock,10161,7,192,-3.6853920305869154,1.0,normal,-3.6745297584100793,-3.6745297584100793,4.2801218000239905,4.2801218000239905,0.999673614576739,0.2982571474589552,8.901378133849834,22.986172348705974,0.0,0.0,1.0598958333333333
equal_budget_inventory,action_only_adaptive_base_stock,11161,7,192,-3.599309302048206,1.0,normal,-3.743500696147013,-3.743500696147013,4.327626145568256,4.327626145568256,0.9997051343026554,0.268228357812322,8.05718813262133,22.76140252598545,0.0,0.0,1.7838541666666667
equal_budget_inventory,action_only_adaptive_base_stock,12161,7,192,-3.6615043254071145,1.0,normal,-3.7493817815400106,-3.7493817815400106,4.341050682201192,4.341050682201192,0.9995250188326477,0.4267973329950709,8.517033162989746,23.00896289257632,0.0,0.0,1.484375
equal_budget_inventory,action_only_adaptive_base_stock,13161,7,192,-3.736038855874284,1.0,normal,-3.7893959036926153,-3.7893959036926153,4.387935567684956,4.387935567684956,0.9998272236240426,0.15279901234271825,8.884439718935953,22.76733090209434,0.0,0.0,1.3359375
equal_budget_inventory,action_only_adaptive_base_stock,14161,7,192,-3.712816628931142,1.0,normal,-3.706463017929199,-3.706463017929199,4.302574317669232,4.302574317669232,0.9996701624675041,0.2995866387275528,8.436010428322556,22.976864732236805,0.0,0.0,1.375
equal_budget_inventory,action_only_adaptive_base_stock,15161,7,192,-3.784257572712546,1.0,normal,-3.710508168822942,-3.710508168822942,4.307382398255647,4.307382398255647,0.9996483411790881,0.3246310720925059,8.570801977395636,22.787108698523507,0.0,0.0,1.34375
equal_budget_inventory,action_only_adaptive_base_stock,16161,7,192,-3.784159404004072,1.0,normal,-3.7112425679195638,-3.7112425679195638,4.311109625343342,4.311109625343342,0.9997099446779721,0.2522125722409256,8.68568838596113,22.942034565568562,0.0,0.0,1.2604166666666667
equal_budget_inventory,action_only_adaptive_base_stock,17161,7,192,-3.623578321102433,1.0,normal,-3.736068118718187,-3.736068118718187,4.325521914259891,4.325521914259891,0.999726646317713,0.2544850838430704,8.106525180341364,23.199719282234607,0.0,0.0,1.6119791666666667
equal_budget_inventory,action_only_adaptive_base_stock,18161,7,192,-3.582657077471824,1.0,normal,-3.7136465592472114,-3.7136465592472114,4.304947201809491,4.304947201809491,0.999664533445285,0.30590553747855165,8.235244129083997,22.868567700011017,0.0,0.0,1.5338541666666667
equal_budget_inventory,action_only_adaptive_base_stock,19161,7,192,-3.819556020742312,1.0,normal,-3.7027379378237413,-3.7027379378237413,4.308191797615522,4.308191797615522,0.9998125918489725,0.17145744401534646,8.812243225888148,23.02010727349632,0.0,0.0,1.1015625
equal_budget_inventory,fixed_service_base_stock,8261,3,192,-3.8454293554188075,1.0,normal,-3.732355313520964,-3.732355313520964,4.3367694619502375,4.3367694619502375,0.9998291123036592,0.1540204132239185,9.021054278637314,23.109013620296196,0.0,0.0,1.140625
equal_budget_inventory,fixed_service_base_stock,9261,3,192,-3.777462469910147,1.0,normal,-3.7724479301643785,-3.7724479301643785,4.364821493498934,4.364821493498934,0.9997400547918196,0.23593944963010852,8.428723100354732,22.93804651496963,0.0,0.0,1.5182291666666667
equal_budget_inventory,fixed_service_base_stock,10261,3,192,-3.6964195261641124,1.0,normal,-3.741500849927773,-3.741500849927773,4.33204767594497,4.33204767594497,0.9997070251271497,0.2676707643855209,8.22516772628723,22.84078635047278,0.0,0.0,1.5703125
equal_budget_inventory,fixed_service_base_stock,11261,3,192,-3.6108509252934,1.0,normal,-3.7477737545250513,-3.7477737545250513,4.327696018018354,4.327696018018354,0.9995801266866629,0.37917703230637345,7.7318150469387605,22.795363421282115,0.0,0.0,1.890625
equal_budget_inventory,fixed_service_base_stock,12261,3,192,-3.7388856305332814,1.0,normal,-3.7541569109318877,-3.7541569109318877,4.3555027499775685,4.3555027499775685,0.9995920580057103,0.35857500866341135,8.9639564448483,22.861352694152583,0.0,0.0,1.1796875
equal_budget_inventory,fixed_service_base_stock,13261,3,192,-3.5883812693778374,1.0,normal,-3.70793826690718,-3.70793826690718,4.304829286355687,4.304829286355687,0.9997871586810635,0.20416371191537427,8.531416053089663,23.01474868499208,0.0,0.0,1.3802083333333333
