experiment,method,iteration,loss_perf,hjb_loss,terminal_loss,residual_mean_abs,mean_hamiltonian,mean_action,omega,algorithm,backend,initialization,ad_terms
exp2_hidden_regime,nbo_full_ndu,225,0.03785745248285443,0.003780683377078188,1.2088537451748718e-05,0.0504677816577817,-0.03785745248285443,0.00011494;0.25009;0.550061,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_full_ndu,270,0.020945316832845524,0.0012832065829171309,8.125208492055767e-06,0.029913554303299696,-0.020945316832845524,0.000114834;0.250175;0.550018,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_full_ndu,315,0.02402624460109401,0.009667816386532862,1.265002771129163e-05,0.08547419418089269,-0.02402624460109401,0.000114733;0.25023;0.549972,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_full_ndu,360,-0.01741722750339946,0.003980006285765691,2.9924546013258283e-06,0.05286285062077558,0.01741722750339946,0.000114707;0.250257;0.549999,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_full_ndu,405,0.0312959085291963,0.0015971924041486482,8.108230163219061e-06,0.03295952053606061,-0.0312959085291963,0.000114684;0.250283;0.549971,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_full_ndu,450,0.020212984970635804,0.0005081837204884942,4.415929395686752e-06,0.019252534085044817,-0.020212984970635804,0.000114699;0.250279;0.550038,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_fixed_pref_recurrent,1,0.3759149993663937,26.33319178507735,0.021399156094293964,4.442357014034884,-0.3759149993663937,0.000115;0.25;0.55,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_fixed_pref_recurrent,45,0.05114484374047575,0.035800671284468566,9.24694750466667e-06,0.15619033949600244,-0.05114484374047575,0.000114961;0.25;0.550003,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_fixed_pref_recurrent,90,0.08871461528567758,0.007497512620366141,1.7998522756134132e-05,0.0687921841189118,-0.08871461528567758,0.000114928;0.25;0.549991,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_fixed_pref_recurrent,135,0.05234210046564574,0.004583844398122993,1.0427681963517682e-05,0.054377719133569785,-0.05234210046564574,0.000114887;0.25;0.550015,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
