method,t,inventory,regime,theta_previous,order_up_to,theta_next
exact_dp_full_order_and_valuation_control,1,2,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,1,2,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,1,1,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,1,1,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,1,0,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,1,0,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,1,-1,0,1.35,6,1.35
exact_dp_full_order_and_valuation_control,1,-1,1,1.35,7,1.35
exact_dp_full_order_and_valuation_control,2,4,0,1.35,0,1.35
exact_dp_full_order_and_valuation_control,2,4,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,2,3,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,2,3,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,2,2,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,2,2,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,2,1,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,2,1,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,2,0,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,2,0,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,2,-1,0,1.35,6,1.35
exact_dp_full_order_and_valuation_control,2,-1,1,1.35,7,1.35
exact_dp_full_order_and_valuation_control,2,5,0,1.35,0,1.35
exact_dp_full_order_and_valuation_control,2,5,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,3,4,0,1.35,0,1.35
exact_dp_full_order_and_valuation_control,3,4,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,3,3,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,3,3,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,3,2,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,3,2,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,3,1,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,3,1,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,3,0,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,3,0,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,3,-1,0,1.35,6,1.35
exact_dp_full_order_and_valuation_control,3,-1,1,1.35,7,1.35
exact_dp_full_order_and_valuation_control,3,5,0,1.35,0,1.35
exact_dp_full_order_and_valuation_control,3,5,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,4,4,0,1.35,0,1.35
exact_dp_full_order_and_valuation_control,4,4,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,4,3,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,4,3,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,4,2,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,4,2,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,4,1,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,4,1,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,4,0,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,4,0,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,4,-1,0,1.35,6,1.35
exact_dp_full_order_and_valuation_control,4,-1,1,1.35,7,1.35
exact_dp_full_order_and_valuation_control,4,5,0,1.35,0,1.35
exact_dp_full_order_and_valuation_control,4,5,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,5,4,0,1.35,0,1.35
exact_dp_full_order_and_valuation_control,5,4,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,5,3,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,5,3,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,5,2,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,5,2,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,5,1,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,5,1,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,5,0,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,5,0,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,5,-1,0,1.35,6,1.35
exact_dp_full_order_and_valuation_control,5,-1,1,1.35,7,1.35
exact_dp_full_order_and_valuation_control,5,5,0,1.35,0,1.35
exact_dp_full_order_and_valuation_control,5,5,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,6,4,0,1.35,0,1.35
exact_dp_full_order_and_valuation_control,6,4,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,6,3,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,6,3,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,6,2,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,6,2,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,6,1,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,6,1,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,6,0,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,6,0,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,6,-1,0,1.35,6,1.35
exact_dp_full_order_and_valuation_control,6,-1,1,1.35,7,1.35
exact_dp_full_order_and_valuation_control,6,5,0,1.35,0,1.35
exact_dp_full_order_and_valuation_control,6,5,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,7,4,0,1.35,0,1.35
exact_dp_full_order_and_valuation_control,7,4,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,7,3,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,7,3,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,7,2,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,7,2,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,7,1,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,7,1,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,7,0,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,7,0,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,7,-1,0,1.35,6,1.35
exact_dp_full_order_and_valuation_control,7,-1,1,1.35,7,1.35
exact_dp_full_order_and_valuation_control,7,5,0,1.35,0,1.35
exact_dp_full_order_and_valuation_control,7,5,1,1.35,6,1.35
