scenario,method,seed,param_dim,cem_iterations,cem_population,policy_evaluations,search_mean_welfare,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,service_breach_count
tight_capacity,action_only_adaptive_base_stock,4052,7,9,22,198,-3.8062020669006125,-3.799869141143605,4.485268555473357,0.9997666015921944,0.21665675213540622,9.18648118185313,22.990200979880512,0.0,1.0833333333333333
tight_capacity,action_only_adaptive_base_stock,5052,7,9,22,198,-3.9488268361419174,-3.765770722596328,4.449506998126134,0.999712016725534,0.2529235728815995,8.967193496374335,22.961557072539858,0.0,1.1223958333333333
tight_capacity,action_only_adaptive_base_stock,6052,7,9,22,198,-3.789161599573668,-3.7881585310182544,4.473270136859666,0.9996478173157124,0.3294836525968137,9.158748215427517,22.95465601726465,0.0,1.0572916666666667
tight_capacity,action_only_adaptive_base_stock,7052,7,9,22,198,-3.700366306113343,-3.824089860971769,4.500672248114437,0.9995942235714074,0.374018585590359,8.64606994010902,22.968729605484437,0.0,1.3255208333333333
tight_capacity,action_only_adaptive_base_stock,8052,7,9,22,198,-3.8224050305122335,-3.771394424518038,4.455476052487301,0.999733028107696,0.2527599697543945,8.865975745268274,23.155585921002444,0.0,1.1171875
tight_capacity,action_only_adaptive_base_stock,9052,7,9,22,198,-3.8310229707480907,-3.833848295536187,4.516882351669671,0.9997989229037204,0.18678071339088873,9.03599555074106,23.044451898125384,0.0,1.171875
tight_capacity,action_only_adaptive_base_stock,10052,7,9,22,198,-3.7718372389636285,-3.856083518035918,4.525976710499838,0.9995107019404355,0.440942449330187,8.479052999783603,22.879207072373617,0.0,1.5234375
tight_capacity,action_only_adaptive_base_stock,11052,7,9,22,198,-3.8653237086777614,-3.8693586977466516,4.543698164947976,0.9997269546890362,0.2513569890104432,8.702613834534006,23.00272337111193,0.0,1.4401041666666667
tight_capacity,action_only_adaptive_base_stock,12052,7,9,22,198,-3.701992911140131,-3.837538764796413,4.512498669831637,0.9996830450039137,0.2914233687383438,8.626164242761073,22.856552458345703,0.0,1.40625
tight_capacity,fixed_service_base_stock,4052,3,8,18,144,-3.833049752352919,-3.822185896176244,4.499544929092038,0.9996544758795327,0.319955970443699,8.693958488317046,22.966306713816152,0.0,1.3177083333333333
tight_capacity,fixed_service_base_stock,5052,3,8,18,144,-3.9795583220249355,-3.7918649492978553,4.4796586173044535,0.9997114492229554,0.2526905302920215,9.298820985002871,22.963592750484356,0.0,0.9869791666666666
tight_capacity,fixed_service_base_stock,6052,3,8,18,144,-3.834882232558396,-3.832012529631433,4.51125883846954,0.9995603537597897,0.4092585082064362,8.935540215782565,22.94180701135549,0.0,1.2265625
tight_capacity,fixed_service_base_stock,7052,3,8,18,144,-3.703899823245205,-3.8174834161911093,4.491571331191515,0.9996295600000451,0.3414445371756605,8.50267193918385,22.975468309077147,0.0,1.4192708333333333
tight_capacity,fixed_service_base_stock,8052,3,8,18,144,-3.818876289856907,-3.766549676875813,4.452334656934098,0.9997399977842539,0.2470273688627008,8.925773803976535,23.15642279816683,0.0,1.0625
tight_capacity,fixed_service_base_stock,9052,3,8,18,144,-3.873328470010968,-3.8588401811742563,4.536171885028462,0.9997469254282451,0.23240417610420186,8.733402200264544,23.030357567267984,0.0,1.3463541666666667
tight_capacity,fixed_service_base_stock,10052,3,8,18,144,-3.748481168679592,-3.8203693185736785,4.505881503232193,0.9996923260731684,0.27821923740505067,9.23365977517998,22.90886511198588,0.0,1.0572916666666667
tight_capacity,fixed_service_base_stock,11052,3,8,18,144,-3.778151880900525,-3.801033770937257,4.48433680652071,0.9998374900648281,0.15360590331258508,8.845205144160117,23.028094195832114,0.0,1.1744791666666667
tight_capacity,fixed_service_base_stock,12052,3,8,18,144,-3.6948994339879384,-3.8354880116813064,4.5106116017521005,0.9997099127856438,0.2675796370541367,8.591055387777002,22.861256438486333,0.0,1.4088541666666667
tight_capacity,fixed_service_base_stock,13052,3,8,18,144,-3.7868329230565534,-3.782097776923894,4.460032675395148,0.9996576970523616,0.31917759265694273,8.657868802454244,23.133358121182084,0.0,1.2994791666666667
