method,seed,sku_count,test_months,training_months_per_sku,source_dataset,split,external_avg_cost,valuation_adjusted_welfare,theta_free_external_welfare,fill_rate,avg_order,avg_ending_inventory,avg_ending_backlog,lost_sales_rate,capacity_excess_rate,theta_mean,theta_std,target_fill_mean,periods
tabular_inventory_rl,7876,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.467621194955,-0.239298270374,-0.239298270374,0.978484484371,0.866780615304,0.741013750653,0.0934702746097,0,0.052624359751,1,0,0.93,156
full_ndu_theta_service_control,7973,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.354428156204,-0.0368179401721,-0.053933684568,0.998648631951,0.955577564152,0.959883414158,0.043952251253,0,0.0681336260512,1.04026305874,0.200480003198,0.93217951117,156
rolling_forecast_base_stock_backlog,7973,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.393730478536,-0.139766265731,-0.139766265731,0.992410991787,0.889991321931,0.751867043121,0.06982336063,0,0.0504015057975,1,0,0.93,156
rolling_forecast_base_stock_lost_sales,7973,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.584005491541,-0.341901339032,-0.341901339032,0.926750354163,0.829033403915,0.737662961352,0,0.0732496458366,0.0250996542949,1,0,0.93,156
seasonal_service_tuned_base_stock,7973,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.371347525123,-0.0964935921358,-0.0964935921358,0.994355435037,0.91262395541,0.825111348703,0.0581499359298,0,0.052236008147,1,0,0.93,156
mpc_scenario_base_stock,7973,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.380192612703,-0.120186004726,-0.120186004726,0.993264925306,0.90608974359,0.773497074123,0.0619808078654,0,0.0587783018817,1,0,0.93,156
approximate_dp_inventory,7973,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.346031306607,-0.03941605519,-0.03941605519,0.999465013211,0.958915241281,0.959156350063,0.041283044945,0,0.0640422174467,1,0,0.93,156
tabular_inventory_rl,7973,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.43533179185,-0.194455044932,-0.194455044932,0.986917721559,0.898717050266,0.794681040575,0.0809396698324,0,0.053870642191,1,0,0.93,156
full_ndu_theta_service_control,8070,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.312130273004,0.0194054128271,0.00462481113625,0.997240643297,0.931370152484,0.95732307456,0.0303476017161,0,0.0556502817717,1.03122368851,0.165564422077,0.931717302868,156
rolling_forecast_base_stock_backlog,8070,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.342907922141,-0.0725119653502,-0.0725119653502,0.992215985114,0.8675739511,0.758208345361,0.0527457938891,0,0.0483279524067,1,0,0.93,156
rolling_forecast_base_stock_lost_sales,8070,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.520088054036,-0.273489750621,-0.273489750621,0.936844107833,0.804917138094,0.723256830923,0,0.0631558921667,0.0158496833718,1,0,0.93,156
seasonal_service_tuned_base_stock,8070,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.319217440512,-0.0233199205251,-0.0233199205251,0.995817427815,0.88962838334,0.826030028567,0.040909897084,0,0.0452030726694,1,0,0.93,156
mpc_scenario_base_stock,8070,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.337640132345,-0.0603517391062,-0.0603517391062,0.995539941602,0.891025641026,0.805645208367,0.0459869347025,0,0.0545568193611,1,0,0.93,156
approximate_dp_inventory,8070,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.315629019213,0.000915195594109,0.000915195594109,0.997695602456,0.934942775675,0.96017701442,0.0308975160777,0,0.0546883618109,1,0,0.93,156
tabular_inventory_rl,8070,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.35166963617,-0.0835143276231,-0.0835143276231,0.990306594935,0.86760468361,0.750471738851,0.0560624241121,0,0.0408872659202,1,0,0.93,156
full_ndu_theta_service_control,8167,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.379060469968,-0.0762369217003,-0.0996632300423,0.991882596894,0.954358712184,0.963822062454,0.0534363819808,0,0.0780236755347,1.04506839786,0.205910180574,0.932404529255,156
rolling_forecast_base_stock_backlog,8167,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.452385470366,-0.244018260568,-0.244018260568,0.980038672361,0.886542040129,0.761006943014,0.0890245107131,0,0.060870899296,1,0,0.93,156
rolling_forecast_base_stock_lost_sales,8167,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.726327091997,-0.542760695763,-0.542760695763,0.902696751388,0.813373926139,0.743951948664,0,0.0973032486123,0.0272834516006,1,0,0.93,156
seasonal_service_tuned_base_stock,8167,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.41359126098,-0.17142106623,-0.17142106623,0.984891853573,0.905134781747,0.821844923012,0.0729031461048,0,0.0582622164877,1,0,0.93,156
