audit,epsilon,method,seed,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,service_breach_count,theta_rmse,p_rmse
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,16061,-6.3110064350847885,6.947658762843988,0.9999916972198999,0.006568318144333771,19.9988188139942,23.223710453842358,0.109375,0.10527001932571346,0.12656248767642683
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,17061,-6.338556097501758,6.975351712954455,0.9999583386503372,0.036096278271650656,20.079181788239993,23.334578503778,0.095703125,0.10618056865111437,0.1277584026502977
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,18061,-6.333225695345247,6.970669459734835,0.9999954119549488,0.004402052544625397,20.093819890502907,23.314155255431572,0.083984375,0.10623982306175236,0.127931248209063
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,19061,-6.309323775733081,6.94556753252279,0.9999552742862137,0.035262037303524195,19.99276147170704,23.231431480702412,0.11328125,0.10549500997611393,0.12696901441581604
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,20061,-6.3005600326015365,6.937484866473354,0.9999451940777271,0.046081796673125536,19.99494943801863,23.262746507957416,0.087890625,0.10547257118013617,0.1270109818283384
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,21061,-6.23535594216539,6.872410412866785,0.9999467502439243,0.04340239320026798,19.812941132298,22.982706010353265,0.083984375,0.10574696135882376,0.1271391284603153
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,22061,-6.30111508003225,6.937172241343298,0.999983219382631,0.015347793256745748,19.93908649868373,23.196442500450996,0.126953125,0.106395126172114,0.12813143799258875
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,23061,-6.342287992005476,6.97898936378761,0.9999538824102668,0.038654140585422846,20.120908624839878,23.26088802538417,0.09765625,0.10643251783389333,0.1281493469529863
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,24061,-6.313538764762862,6.950457040182583,0.999973671146215,0.022841629787538134,20.02436498561555,23.1974874453876,0.095703125,0.10599121141691041,0.1274945822257604
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,25061,-6.331522116032858,6.967963676934924,0.9999873240190085,0.011877394189012666,20.065491361163105,23.294278206671855,0.115234375,0.10550378357203832,0.12685300382350723
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,26061,-6.34504204624406,6.981330657842194,0.9999462326997669,0.047829652176586156,20.091723045706924,23.371117190773674,0.109375,0.10588577611216238,0.1274868707553366
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,27061,-6.259807403616685,6.8958397088006285,0.9999874365854928,0.011443569118948282,19.837357821458003,23.061872237876244,0.12890625,0.10510079994998776,0.12629140526732366
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,28061,-6.286626349388703,6.924392296316717,0.999977091022252,0.019418852365448637,19.984681040121643,23.199392743042136,0.068359375,0.10633826022105627,0.1279006006563644
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,29061,-6.3185234340253205,6.955526613635756,0.9999989326075545,0.0009307662124724003,20.03536297959829,23.318732699019403,0.099609375,0.10549020843967002,0.12701329129098318
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,30061,-6.250762021810246,6.888022955386095,0.9999652338844812,0.02948288120652489,19.864242072063576,23.07688818824908,0.08203125,0.1059176353055417,0.1272215646118478
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,31061,-6.2888618033242265,6.926121522532266,0.9999870547447549,0.0104800945464446,19.95757403481344,23.25057885104467,0.087890625,0.10546727458283794,0.12679691530331755
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,32061,-6.265657336959803,6.902249928687691,0.9999695817784859,0.02681243841016303,19.862708951455136,23.10766641972014,0.10546875,0.10504388298565212,0.1263922926946472
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,33061,-6.331025300648415,6.967578519268194,0.9999939570149724,0.004729557825388184,20.058894897954072,23.27163382097011,0.11328125,0.10630637523363977,0.1279587976060138
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,34061,-6.268595104681814,6.905301893470718,0.9999692079736131,0.025501935390207606,19.89412941607898,23.13355557005282,0.1015625,0.10607748462008398,0.1276493349511499
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,35061,-6.365175982745969,7.001690225146678,0.9999817607688386,0.015266022544240518,20.16555406796751,23.351916179637357,0.111328125,0.1065386604901651,0.1282447744958604
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,36061,-6.301744273315794,6.938305277824258,0.999950984938558,0.03654555769556886,19.989587146814795,23.222105592372664,0.1015625,0.10557589019580405,0.12709602610519247
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,37061,-6.275397353610978,6.911957134132344,0.9999581561589208,0.03652625735199956,19.90192947521701,23.111770448319117,0.103515625,0.10546254713623271,0.12692354272806533
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,38061,-6.276869402767533,6.913451358667007,0.9999829007374346,0.014649994702834866,19.891026888633256,23.117132146434876,0.109375,0.10485545429500581,0.12609887912787107
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,9061,-6.362369227401103,6.999734574990092,0.9999489887611237,0.04446838689068497,20.196465767698015,23.387517883246776,0.07421875,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,10061,-6.327948917655667,6.965060520396624,0.9999758644051195,0.02029059811848484,20.074356186478646,23.32453459353848,0.08984375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,11061,-6.248737709808916,6.885148516630752,0.9999688313214794,0.025073013983965706,19.82312268232593,22.991998760622906,0.111328125,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,12061,-6.291465538615068,6.928206041506229,0.9999660980176451,0.027988565478679485,19.96043276619747,23.19253163488429,0.099609375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,13061,-6.326708482846046,6.963597589330071,0.9999627008105032,0.031790452261025164,20.056457251487736,23.291180385065815,0.09375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,14061,-6.2826184311611195,6.920113245100292,0.9999431993986465,0.04906547808323023,19.950858519103956,23.20813112667879,0.068359375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,15061,-6.290582618446464,6.927938195298132,0.9999843885127085,0.014417194170079792,19.958308540504742,23.2865916364526,0.083984375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,16061,-6.2974533627165545,6.934378687816377,0.9999892007937279,0.008568926886030816,19.973749513274434,23.22081542010447,0.099609375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,17061,-6.324823856143138,6.962029301687858,0.9999582978805901,0.03603745500223924,20.06610275291875,23.336696583614852,0.08203125,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,18061,-6.328185598887005,6.9656347062680055,0.9999960798288752,0.0036065574348988563,20.088905498077157,23.315137767139788,0.083984375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,19061,-6.297751445792238,6.934511641150072,0.9999392627009793,0.048741973003113635,19.972242721390856,23.22911471744909,0.091796875,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,20061,-6.293265277162391,6.930369279700612,0.9999529417235276,0.03961359284467564,19.98197012285138,23.264381287196525,0.083984375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,21061,-6.2237900576793095,6.860593151534119,0.9999373007943513,0.05116527164890142,19.777650644975466,22.980935201459815,0.08984375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,22061,-6.2918118781517105,6.928378699383291,0.9999810089039476,0.01724561418192288,19.94172071363979,23.197428581794348,0.109375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,23061,-6.329177780165697,6.966252732324021,0.9999566346447906,0.03681471731821333,20.093672311335013,23.263963554761236,0.0859375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,24061,-6.306516662844704,6.943155239429398,0.9999680056668367,0.027757779106294123,20.016811115423785,23.197506794507476,0.103515625,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,25061,-6.316421645599578,6.953301736034433,0.9999835464606068,0.01531540725770933,20.042962836767984,23.2925186869223,0.099609375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,26061,-6.334609171694274,6.9714797574027685,0.9999677099323119,0.028242132331150555,20.077255971466784,23.371029575352345,0.095703125,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,27061,-6.24860534349618,6.884936884297443,0.9999808957251579,0.01727657166102859,19.81631144290179,23.0610973804364,0.1171875,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,28061,-6.280211050953071,6.917970980749857,0.9999836630995983,0.01384510709049068,19.969874915596748,23.196184613932406,0.0703125,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,29061,-6.303944064394929,6.941324452815976,0.9999948141776309,0.004912203547402953,20.009107000886612,23.317139552430216,0.0859375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,30061,-6.249970367905808,6.8874646509260335,0.9999651056900282,0.02953511579134563,19.87871345215992,23.078667200328695,0.07421875,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.001,oracle_p_inventory,31061,-6.281739053030858,6.9190698833117,0.9999886194101051,0.009206314930103744,19.94126730673736,23.24998838968021,0.0859375,0.0,0.0
