batch,seed,epsilon,k,zeta,direct_p_mse,inferred_p_mse,induced_z_mse,slope_parity_error,intercept_parity_error,direct_design_condition,z_design_condition
23,2026092423,0.01,0.9725025347348129,0.13753262740641847,0.0002520368653367246,0.0002520368653367185,5.04073730673437e-06,3.3306690738754696e-16,2.7755575615628914e-17,6.943598047310862,3.013039799092334
23,2026092423,0.001,0.9914267954799888,0.04433795418816076,2.44999452473135e-05,2.4499945247309055e-05,4.8999890494618113e-08,7.771561172376096e-16,4.9439619065339e-17,6.943598047310862,7.731613608107002
23,2026092423,0.0001,0.9973011404362228,0.014103967985750617,2.427947648330634e-06,2.427947648329635e-06,4.85589529665927e-10,5.551115123125783e-16,3.371868756429919e-17,6.943598047310862,23.957695897376848
24,2026092424,0.1,0.9651173559359191,0.431613602827515,0.0004055996189671201,0.0004055996189671227,8.111992379342455e-05,1.1102230246251565e-16,1.1102230246251565e-16,6.9794975734187386,3.4846098022449894
24,2026092424,0.01,0.9942880082875355,0.1406135586225164,1.0875616441087723e-05,1.0875616441090685e-05,2.175123288218137e-07,7.771561172376096e-16,3.122502256758253e-17,6.9794975734187386,2.93766107110046
24,2026092424,0.001,0.9987255965105284,0.044664366493331324,5.413680846591381e-07,5.413680846598927e-07,1.0827361693197856e-09,8.881784197001252e-16,3.2526065174565133e-18,6.9794975734187386,7.497819011116028
24,2026092424,0.0001,0.9996501869204494,0.014137188519716975,4.078973020822958e-08,4.078973020848849e-08,8.157946041697699e-12,1.1102230246251565e-15,2.9192143494172207e-17,6.9794975734187386,23.22401293182063
25,2026092425,0.1,1.1121317652118183,0.4973604453900926,0.004191177589839451,0.0041911775898395,0.0008382355179679001,6.661338147750939e-16,4.163336342344337e-17,6.941239619740977,3.4863618820814
25,2026092425,0.01,1.0296656386278098,0.14561671108570026,0.0002933500383986003,0.0002933500383985959,5.867000767971918e-06,2.220446049250313e-16,4.336808689942018e-17,6.941239619740977,3.011890719857196
25,2026092425,0.001,1.0088017447322697,0.0451149855408349,2.5823570110679074e-05,2.5823570110677773e-05,5.1647140221355554e-08,2.220446049250313e-16,3.88822004107614e-17,6.941239619740977,7.729229554298819
25,2026092425,0.0001,1.0027254206838891,0.014180678892674232,2.4759726347235933e-06,2.4759726347235933e-06,4.951945269447187e-10,0.0,3.40168431617327e-17,6.941239619740977,23.950551733014365
26,2026092426,0.1,1.1224643379374888,0.5019813123895037,0.004999171355489151,0.004999171355489061,0.0009998342710978124,1.1102230246251565e-15,2.914335439641036e-16,6.934443385670888,3.467615346917031
26,2026092426,0.01,1.03568556412574,0.14646805711406516,0.000424486495657436,0.000424486495657436,8.48972991314872e-06,0.0,3.209238430557093e-17,6.934443385670888,2.948757044666801
26,2026092426,0.001,1.0109806602348375,0.04521242960445429,4.019163306431354e-05,4.019163306431191e-05,8.038326612862383e-08,2.220446049250313e-16,2.3852447794681098e-17,6.934443385670888,7.548443182001511
26,2026092426,0.0001,1.003441979056684,0.01419081255836461,3.949073275550368e-06,3.94907327554935e-06,7.898146551098699e-10,4.440892098500626e-16,2.0355895788415346e-17,6.934443385670888,23.38748388976273
27,2026092427,0.1,1.0249500576555717,0.4583716004920375,0.00020750179233878366,0.00020750179233878735,4.150035846775747e-05,2.220446049250313e-16,4.163336342344337e-17,6.7894019867846795,3.407530605733422
27,2026092427,0.01,1.008227567328263,0.14258490996740625,2.256428804703369e-05,2.256428804703369e-05,4.512857609406738e-07,0.0,1.734723475976807e-18,6.7894019867846795,2.9632121173392956
27,2026092427,0.001,1.0026355518693546,0.04483922501275787,2.3153778853528456e-06,2.3153778853528456e-06,4.6307557707056916e-09,0.0,1.5178830414797062e-18,6.7894019867846795,7.649724377845383
27,2026092427,0.0001,1.0008368113432051,0.014153969923238039,2.334177413722545e-07,2.334177413723784e-07,4.668354827447568e-11,2.220446049250313e-16,1.5111067779016718e-17,6.7894019867846795,23.721491126614826
28,2026092428,0.1,0.8930544110994116,0.3993860741648655,0.003812452995097883,0.0038124529950978674,0.0007624905990195734,2.220446049250313e-16,2.7755575615628914e-17,6.926187328175301,3.4563663352382146
28,2026092428,0.01,0.9700809502014942,0.13719016363747327,0.00029838318028182315,0.0002983831802818143,5.967663605636286e-06,4.440892098500626e-16,3.469446951953614e-18,6.926187328175301,2.9181176265123083
28,2026092428,0.001,0.9909287772073605,0.04431568213392809,2.742902765123412e-05,2.7429027651228076e-05,5.485805530245615e-08,9.992007221626409e-16,2.883977778811442e-17,6.926187328175301,7.463044329285446
28,2026092428,0.0001,0.9971704286298921,0.014102119441657858,2.668824712844698e-06,2.6688247128449078e-06,5.337649425689816e-10,1.1102230246251565e-16,1.8214596497756474e-17,6.926187328175301,23.12228496435955
29,2026092429,0.1,0.9352257392476777,0.4182456654530601,0.001398568285336613,0.001398568285336613,0.0002797136570673226,0.0,1.3877787807814457e-17,6.946817497541177,3.476500962615062
29,2026092429,0.01,0.9802407430759967,0.13862697532487556,0.00013014274472959034,0.00013014274472958594,2.6028548945917187e-06,3.3306690738754696e-16,2.0816681711721685e-17,6.946817497541177,2.9626326647131838
29,2026092429,0.001,0.9938239906096817,0.04444516001346723,1.2714363996433108e-05,1.2714363996432194e-05,2.5428727992864388e-08,2.220446049250313e-16,1.6696713456276768e-17,6.946817497541177,7.583651158928684
29,2026092429,0.0001,0.9980542159760935,0.01411461808217038,1.2620251558966543e-06,1.2620251558962223e-06,2.524050311792445e-10,3.3306690738754696e-16,2.8189256484623115e-17,6.946817497541177,23.495725269492624
30,2026092430,0.1,1.080750335124062,0.48332624320861606,0.0021735388742161036,0.0021735388742160915,0.00043470777484321834,2.220446049250313e-16,8.326672684688674e-17,6.842607521014274,3.4074160433571454
30,2026092430,0.01,1.0162567921585395,0.14372041383243814,8.809443042865023e-05,8.809443042864542e-05,1.7618886085729085e-06,4.440892098500626e-16,7.806255641895632e-18,6.842607521014274,2.8688830706820387
30,2026092430,0.001,1.0042129784746094,0.044909769675135186,5.916395875840831e-06,5.916395875840208e-06,1.1832791751680416e-08,2.220446049250313e-16,5.106592232406726e-17,6.842607521014274,7.355065720203826
30,2026092430,0.0001,1.0012394737120718,0.014159664429069118,5.120983609723337e-07,5.120983609723337e-07,1.0241967219446676e-10,0.0,5.5416283541165345e-17,6.842607521014274,22.796258477633433
31,2026092431,0.1,1.0692236519975649,0.4781713538034269,0.0015973046652933219,0.0015973046652933323,0.00031946093305866644,2.220446049250313e-16,8.326672684688674e-17,6.800632107854134,3.410649266009036
31,2026092431,0.01,1.0222512821967915,0.14456816274359896,0.00016503985313375027,0.0001650398531337602,3.300797062675204e-06,6.661338147750939e-16,1.3010426069826053e-17,6.800632107854134,2.9559437935982205
31,2026092431,0.001,1.007072557397109,0.045037653932289874,1.667368937846756e-05,1.6673689378465467e-05,3.334737875693093e-08,4.440892098500626e-16,2.2307459698889254e-17,6.800632107854134,7.624037195250547
31,2026092431,0.0001,1.0022401474394143,0.014173816092636298,1.6727535167714114e-06,1.6727535167710795e-06,3.3455070335421595e-10,2.220446049250313e-16,4.33138767907959e-17,6.800632107854134,23.639963327677837
32,2026092432,0.1,1.0320970155996934,0.461567817251115,0.00034340613680231957,0.00034340613680231957,6.868122736046391e-05,0.0,8.326672684688674e-17,6.756893422261379,3.4046097067910286
32,2026092432,0.01,1.0063859690878212,0.14232446864659862,1.3593533730202584e-05,1.3593533730199748e-05,2.718706746039949e-07,6.661338147750939e-16,2.949029909160572e-17,6.756893422261379,3.0085516414665396
32,2026092432,0.001,1.001643020893387,0.0447948376781171,8.998392187021612e-07,8.99839218701918e-07,1.7996784374038362e-09,2.220446049250313e-16,4.466912950640278e-17,6.756893422261379,7.794850240202263
32,2026092432,0.0001,1.000481928842125,0.014148951126777252,7.741846962396361e-08,7.741846962353557e-08,1.5483693924707114e-11,1.3322676295501878e-15,5.761179294044849e-17,6.756893422261379,24.178388979350768
33,2026092433,0.1,0.9528428601304462,0.42612428142540004,0.0007412652802255545,0.0007412652802255754,0.0001482530560451151,6.661338147750939e-16,6.938893903907228e-17,6.994889127645826,3.5225861916256367
33,2026092433,0.01,0.9816850358972771,0.13883122917446475,0.00011181263669467652,0.00011181263669468059,2.2362527338936118e-06,3.3306690738754696e-16,8.673617379884035e-18,6.994889127645826,3.0627001070604267
33,2026092433,0.001,0.9938680431061148,0.04444713010099926,1.253363178282223e-05,1.2533631782824046e-05,2.5067263565648096e-08,4.440892098500626e-16,2.1250362580715887e-17,6.994889127645826,7.855617262931285
33,2026092433,0.0001,0.9980268792990348,0.014114231483175916,1.2977351001925005e-06,1.2977351001919164e-06,2.5954702003838326e-10,4.440892098500626e-16,3.2173699468507344e-17,6.994889127645826,24.338315262320226
34,2026092434,0.1,0.9899947000637129,0.4427390893413957,3.3368675605022024e-05,3.336867560501832e-05,6.673735121003664e-06,5.551115123125783e-16,5.551115123125783e-17,6.847968919005429,3.4316013022979552
