method,seed,mean_utility,cew,sharpe,max_drawdown,turnover,theta_stability
full_ndu_joint,22037,0.10832775244472242,0.114412937101525,1.396656972923275,-0.06355116467197769,0.1980910170818004,0.010413234313440487
full_ndu_joint,23037,0.12685160210783647,0.1352485367907421,1.5875031485147364,-0.06422329927493192,0.2422382547036839,0.016857504763527858
full_ndu_joint,24037,0.11552632643048652,0.12246406463147452,1.3897526971844072,-0.06865349189157802,0.194680489940732,0.017674849832883685
full_ndu_joint,25037,0.12405120631568393,0.13207383884537194,1.5427182507545956,-0.06465617747061961,0.23412615228757552,0.010800557388082213
full_ndu_joint,26037,0.12463546866870526,0.1327354602316626,1.5547715964675435,-0.06632713277515712,0.24306515886559688,0.020903430331578276
full_ndu_joint,27037,0.09554090793854995,0.10025383022940915,1.2803378467624917,-0.06616766414993694,0.24679925433554953,0.021502040178514904
full_ndu_joint,28037,0.11736899068414161,0.12453429582411735,1.5251461633714152,-0.0602822853660551,0.20490008405055982,0.021698263612678133
full_ndu_joint,29037,0.11418414981180758,0.1209585301811984,1.4039796263566346,-0.06722831992191546,0.19260162216806104,0.028271723737010732
full_ndu_joint,30037,0.10339392809667285,0.1089281610057431,1.2839078058371889,-0.06754110028592439,0.1874309897159117,0.01212149840066789
fixed_pref_joint_rl,1067,0.08683277651419122,0.09071427142473842,1.5561111601408273,-0.04495973378546145,0.3419641862969134,0.0
fixed_pref_joint_rl,2067,0.05761968402993473,0.059312045802700775,1.3089771406050108,-0.037381443655696456,0.3420389519500634,0.0
fixed_pref_joint_rl,3067,0.08354246429283607,0.08713137857793596,1.3558834984081398,-0.05496912293953965,0.23243123554742617,0.0
fixed_pref_joint_rl,4067,0.06015788438265356,0.06200420718814015,1.0889672208175039,-0.06010787367718327,0.3043367568875795,0.0
fixed_pref_joint_rl,5067,0.07919208748368779,0.08241221994202763,1.5168016886562565,-0.04081525221406318,0.31847094571861306,0.0
fixed_pref_joint_rl,6067,0.04946667849169745,0.050710580370176395,0.848961890679307,-0.0750649359870418,0.2708162845204081,0.0
fixed_pref_joint_rl,7067,0.06411304399439972,0.06621292091668507,1.2883232587688638,-0.038369529962510876,0.26081239800285777,0.0
fixed_pref_joint_rl,8067,0.09891091369552735,0.10396794675337051,1.5818987212234323,-0.044309234420742166,0.23466977151024226,0.0
fixed_pref_joint_rl,9067,0.06788776740196426,0.07024518534034851,1.2568118015959768,-0.042960640407191976,0.2071464359386288,0.0
fixed_pref_joint_rl,10067,0.06248850390351554,0.06448222145719429,1.3254993218098359,-0.03601485593514531,0.28752080564082305,0.0
fixed_pref_joint_rl,11067,0.07543211691271262,0.0783500235046437,1.4971191446151746,-0.03850246508067705,0.3400971282526015,0.0
fixed_pref_joint_rl,12067,0.08403926144913257,0.08767159653359546,1.410670905030243,-0.0447190236408306,0.23381959870406382,0.0
fixed_pref_joint_rl,13067,0.06291657984795336,0.06493799823605917,1.2501036291883674,-0.04007127461278158,0.2681676782984576,0.0
fixed_pref_joint_rl,14067,0.0646240657758857,0.06675791818385224,1.1440957830183522,-0.045612072700619864,0.20057792450941558,0.0
fixed_pref_joint_rl,15067,0.07460266913057634,0.07745595931032101,1.3964505201289032,-0.04819557678618286,0.397700288677543,0.0
fixed_pref_joint_rl,16067,0.07699717356243863,0.08003902372542182,1.1823558373178225,-0.06361306824461095,0.26237626626962923,0.0
fixed_pref_joint_rl,17067,0.06254206786639709,0.06453924087047169,1.3746388131302005,-0.038078254870156536,0.34383618967278795,0.0
fixed_pref_joint_rl,18067,0.0769120544747986,0.07994709570157688,1.4883344762972026,-0.04424707606192634,0.36151766175183064,0.0
fixed_pref_joint_rl,19067,0.06788499281404134,0.07024221585510215,1.4221372478287129,-0.03949541755553731,0.35331800246817296,0.0
fixed_pref_joint_rl,20067,0.07159865152000541,0.07422411931644257,1.4927799595056706,-0.0356443740425734,0.296128777187659,0.0
fixed_pref_joint_rl,21067,0.07280630343114872,0.07552219177921482,1.2841664143547507,-0.04447947934252778,0.2556671183676802,0.0
fixed_pref_joint_rl,22067,0.07696676016125886,0.08000617656480302,1.428656300240177,-0.04418756523287823,0.32924967294961627,0.0
fixed_pref_joint_rl,23067,0.06941028046343065,0.07187588868256589,1.3892534082159378,-0.03940614617695144,0.3089698440752031,0.0
