method,seed,mean_utility,cew,ruin_prob,surplus_ratio,adaptation_lag,wealth_terminal
preference_only,13041,-2.7734341062401286,-0.9375528141727479,1.0,0.0,0.5,0.9392982384106261
preference_only,14041,-2.7649069839359153,-0.9370180425906495,1.0,0.0,0.5,0.96119588503917
preference_only,15041,-2.773417753738409,-0.937551792996685,1.0,0.0,0.5,0.9413519145482626
preference_only,16041,-2.76922301601389,-0.9372892889640698,1.0,0.0,0.5,0.9462635297642645
preference_only,17041,-2.7619687565032054,-0.936832715141857,1.0,0.0,0.5,0.964050357251634
preference_only,18041,-2.7691655086483165,-0.9372856825325877,1.0,0.0,0.5,0.950851920282588
preference_only,19041,-2.7674740056956164,-0.9371795113102617,1.0,0.0,0.5,0.953576918828815
preference_only,20041,-2.757241719795544,-0.9365334142217111,1.0,0.0,0.5,0.9764487774563958
preference_only,21041,-2.766546229645586,-0.937121200920095,1.0,0.0,0.5,0.9538840900659513
preference_only,22041,-2.759997884228029,-0.9367080977292681,1.0,0.0,0.5,0.9698434732016927
preference_only,23041,-2.7577854017422267,-0.9365679104802701,1.0,0.0,0.5,0.9721910911630298
preference_only,24041,-2.7676931866795025,-0.9371932788579334,1.0,0.0,0.5,0.9522901570249488
preference_only,25041,-2.7715547803606233,-0.9374353452136669,1.0,0.0,0.5,0.9468958751732334
preference_only,26041,-2.769683799978969,-0.9373181783977489,1.0,0.0,0.5,0.9557135032030295
preference_only,27041,-2.767993580709005,-0.9372121427885292,1.0,0.0,0.5,0.951905161098983
preference_only,28041,-2.760327026035763,-0.9367289263124297,1.0,0.0,0.5,0.9679635903083788
preference_only,29041,-2.7634435245728186,-0.9369258035778116,1.0,0.0,0.5,0.9648468219674265
preference_only,30041,-2.766715187491383,-0.9371318238890916,1.0,0.0,0.5,0.9584765561591302
