method,seed,param_dim,cem_iterations,cem_population,policy_evaluations,search_mean_welfare,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,service_breach_count
action_only_adaptive_base_stock,20161,7,9,22,198,-3.658046338584315,-3.7387153815143632,4.3306158304833735,0.9996931225273763,0.28710892690929135,8.357122823711274,22.928417705160044,0.0,1.521484375
action_only_adaptive_base_stock,21161,7,9,22,198,-3.720948610555368,-3.7392507953094816,4.33875150359545,0.9996177643169959,0.34635413876519605,8.769741035456601,22.959885587018015,0.0,1.248046875
action_only_adaptive_base_stock,22161,7,9,22,198,-3.8426279637284346,-3.721664075023309,4.314385714668113,0.9996053416743506,0.3513169554156324,8.36418262159491,22.82856234742299,0.0,1.470703125
action_only_adaptive_base_stock,23161,7,9,22,198,-3.6335677837397604,-3.6901744802721015,4.283979415756544,0.9996601872480554,0.3068263449264508,8.296981606961175,22.8952147864122,0.0,1.44921875
action_only_adaptive_base_stock,24161,7,9,22,198,-3.7550009044139423,-3.7352075673862006,4.327009508861664,0.999746727059433,0.22840156373714463,8.411924271642295,22.8922881991429,0.0,1.5390625
action_only_adaptive_base_stock,25161,7,9,22,198,-3.665816807968875,-3.7243470138005996,4.314471887822531,0.9994858240964914,0.47383838750076857,8.325495343911225,22.73046692183882,0.0,1.525390625
action_only_adaptive_base_stock,26161,7,9,22,198,-3.6859928024898267,-3.756944341724082,4.3462069342388014,0.9995904412518399,0.3770763914941003,8.312910529721858,22.877658778495892,0.0,1.58203125
action_only_adaptive_base_stock,27161,7,9,22,198,-3.7244649979947773,-3.710471431648858,4.299469335647309,0.9995793278435565,0.3905963171030439,8.104611742464813,22.99786376630724,0.0,1.587890625
action_only_adaptive_base_stock,28161,7,9,22,198,-3.7035813864072367,-3.7174678895925886,4.312122026826373,0.999597880435473,0.35956720399670006,8.474246395264373,22.868054656019588,0.0,1.404296875
action_only_adaptive_base_stock,29161,7,9,22,198,-3.8132124589212655,-3.7358682901283573,4.3318354676202775,0.9995862292177401,0.3777545521724866,8.598796379481872,22.942972733111567,0.0,1.357421875
action_only_adaptive_base_stock,30161,7,9,22,198,-3.7936790105091247,-3.704859433480811,4.297028658098144,0.9996315046396667,0.33051456634775944,8.300608704440261,22.913001803524793,0.0,1.49609375
fixed_service_base_stock,1261,3,8,18,144,-3.787592664185335,-3.73227256006577,4.3339345742218764,0.9997853884882634,0.1870803312439771,8.898629643784467,22.984661753126773,0.0,1.220703125
fixed_service_base_stock,2261,3,8,18,144,-3.671848886667276,-3.721251636352444,4.31365268386212,0.9996824551574595,0.28839392692507104,8.28258224764201,22.87765690204452,0.0,1.501953125
fixed_service_base_stock,3261,3,8,18,144,-3.640714707911652,-3.6983087188526875,4.30160974335317,0.9997851866563103,0.19527855149021972,8.809676047551177,22.837165392730075,0.0,1.166015625
fixed_service_base_stock,4261,3,8,18,144,-3.6516042141659875,-3.709255801671509,4.307161387308415,0.9997919091421132,0.1885944948228697,8.536863971352862,22.953016229018633,0.0,1.34765625
fixed_service_base_stock,5261,3,8,18,144,-3.670547119662849,-3.765205228774401,4.351000019089106,0.9995817706643382,0.37620708220722526,8.153382712711354,22.94926414115124,0.0,1.6953125
fixed_service_base_stock,6261,3,8,18,144,-3.6503896882911087,-3.712329422743186,4.315031786842122,0.9997616236373671,0.21756563599024176,8.800382044242548,23.038169989967308,0.0,1.1796875
fixed_service_base_stock,7261,3,8,18,144,-3.775436697375443,-3.748400531972995,4.346336781778325,0.9997298241944161,0.24768782636112197,8.641501799769433,22.80027959452903,0.0,1.330078125
