method,seed,mean_utility,cew,sharpe,max_drawdown,adaptation_lag,regime_detection_acc
fixed_pref_recurrent_rl,17043,-0.008512247725438231,-0.00847612112363516,0.5514024667604888,-0.014255280736868266,0.5,0.318115234375
fixed_pref_recurrent_rl,18043,0.003771454024174963,0.0037785749061152174,1.256500497986635,-0.004630409711375491,0.5,0.3986002604166667
fixed_pref_recurrent_rl,19043,-0.006276052460099604,-0.006256399179359939,0.6296686176564398,-0.014107401182192279,0.5,0.6121419270833333
fixed_pref_recurrent_rl,20043,0.003097789953312815,0.003102593063004644,0.9876339331105344,-0.006081106224199845,0.5,0.387939453125
fixed_pref_recurrent_rl,21043,-0.003699754232941335,-0.003692918574932591,0.7905688361946055,-0.011547925348034525,0.5,0.18505859375
fixed_pref_recurrent_rl,22043,0.000636279515995924,0.0006364819847470837,0.9537709641257839,-0.00892510174978546,0.5,0.3951822916666667
fixed_pref_recurrent_rl,23043,-0.0042975703538087875,-0.004288349012852466,0.5795168365702098,-0.012854379421627843,0.5,0.625732421875
fixed_pref_recurrent_rl,24043,0.0007031535179007485,0.0007034007882886772,0.8643934984546263,-0.009186719934471232,0.5,0.3833821614583333
fixed_pref_recurrent_rl,25043,-0.0022628282169837918,-0.0022602699512164204,0.7702957363829444,-0.011833316556437472,0.496337890625,0.6083984375
fixed_pref_recurrent_rl,26043,0.002647069481102454,0.0026505760628938724,1.2264878699762423,-0.006425486972438576,0.5,0.3724772135416667
fixed_pref_recurrent_rl,27043,-0.005307248760599301,-0.005293190197655173,0.5414377349819608,-0.013436263238406706,0.5,0.582763671875
fixed_pref_recurrent_rl,28043,0.0010220782016609705,0.0010226007015829985,0.9604549918849138,-0.009314898114063467,0.5,0.40804036458333326
fixed_pref_recurrent_rl,29043,0.005072357281828041,0.0050852434645869415,1.320660243885348,-0.004736555738327872,0.5,0.389892578125
fixed_pref_recurrent_rl,30043,-0.0043602943002029,-0.004350802018402988,0.8350910402539847,-0.013734152816464826,0.5,0.40559895833333337
oracle_joint_action_rl,1063,0.0030642890439870445,0.0030689887768802215,1.1689358117131228,-0.00785526594777725,0.5,1.0
oracle_joint_action_rl,2063,-0.013065790516527996,-0.01298080361861531,0.5257537569043096,-0.02412619043986223,0.358642578125,1.0
oracle_joint_action_rl,3063,-0.01056446860554567,-0.010508860602363779,0.5368692350191033,-0.015589100947171995,0.427001953125,1.0
oracle_joint_action_rl,4063,-0.06711872094598376,-0.06491581933183577,0.14089904157914304,-0.08697190811175928,0.265380859375,1.0
oracle_joint_action_rl,5063,0.005487546909307769,0.0055026310739134665,1.301677313371176,-0.005452537738693331,0.5,1.0
oracle_joint_action_rl,6063,-0.015311650559375114,-0.015195023248904982,0.3134065703733394,-0.036314992933382924,0.2840169270833333,1.0
oracle_joint_action_rl,7063,-0.031256105520110294,-0.030772683178595384,0.1484485154388671,-0.04600463388432513,0.286865234375,1.0
oracle_joint_action_rl,8063,-0.0399299808012847,-0.0391432847857327,0.1451828671947906,-0.07161201895606686,0.2713216145833333,1.0
oracle_joint_action_rl,9063,-0.028078313207237034,-0.027687781068706396,0.176324444940312,-0.05092730239331756,0.2984212239583333,1.0
oracle_joint_action_rl,10063,-0.012982066101255003,-0.012898162554045856,0.6208737355389191,-0.01960857972171242,0.23811848958333334,1.0
oracle_joint_action_rl,11063,-0.03653507721486013,-0.03587572549114626,0.19529538961385778,-0.05125677434750577,0.22664388020833334,1.0
oracle_joint_action_rl,12063,-0.015333372701446012,-0.0152164150901829,0.39128973097180586,-0.031817495441657476,0.304443359375,1.0
oracle_joint_action_rl,13063,-0.04852982954458859,-0.04737107760491166,0.02047847010226326,-0.07394514560365026,0.3109537760416667,1.0
oracle_joint_action_rl,14063,-0.013070976549406105,-0.012985922319346144,0.2980360503198395,-0.028989536784073844,0.294677734375,1.0
oracle_joint_action_rl,15063,-0.008370810285453115,-0.00833587260656099,0.4355937517528061,-0.021575557142486976,0.3639322916666667,1.0
oracle_joint_action_rl,16063,-0.015817809023648502,-0.015693364493087225,0.18464848575524911,-0.031315124670774616,0.2914225260416667,1.0
oracle_joint_action_rl,17063,-0.004721719844844101,-0.004710590049845975,0.4487264607613173,-0.02424799421427953,0.336181640625,1.0
oracle_joint_action_rl,18063,-0.03909917073097387,-0.03834466364530109,0.04300809076500467,-0.06802224160544827,0.3086751302083333,1.0
oracle_joint_action_rl,19063,-0.03264999248668029,-0.032122735374489286,0.21013087192550634,-0.06259221734800528,0.3016764322916667,1.0
oracle_joint_action_rl,20063,-0.035137222898004826,-0.03452707782516262,0.1640747049740482,-0.07616034559575549,0.28271484375,1.0
oracle_joint_action_rl,21063,-0.04602432531479435,-0.04498126922310064,0.11460236707813377,-0.0731896834966848,0.282470703125,1.0
oracle_joint_action_rl,22063,-0.027487140791377783,-0.027112806967602543,0.1196025782526903,-0.048500646008445,0.300048828125,1.0
oracle_joint_action_rl,23063,-0.03249723515664213,-0.03197487373455332,0.1938805445057272,-0.047496004552961976,0.3091634114583333,1.0
oracle_joint_action_rl,24063,-0.05476516139083058,-0.05329255468979177,0.20704542552359448,-0.09272083030305708,0.224609375,1.0
oracle_joint_action_rl,25063,-0.027986935643393475,-0.027598929487386403,0.0832248035854368,-0.047639867190242824,0.28173828125,1.0
oracle_joint_action_rl,26063,-0.03154042811004466,-0.031048217227415797,0.07508561286536516,-0.04897707153799796,0.2943522135416667,1.0
oracle_joint_action_rl,27063,-0.037479840135310805,-0.036786164214315464,0.055772135374824394,-0.06002990998977591,0.3002115885416667,1.0
