config,seed_index,method,train_seed,eval_seed,iterations,population,policy_evaluations,objective,search_score,mean_welfare,mean_welfare_no_theta_cost,avg_cost,avg_cost_no_theta,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,theta_mean_abs_deviation_from_one,service_breach_count
welfare_1536_confirm24,16,full_ndu_inventory,29061,1199016,32,48,1536,welfare,-3.670805918715954,-3.672532217434412,-3.671248822211284,4.262703378653402,4.261419983430273,0.9996454185898739,0.3291990520258837,7.97808169567399,22.969626536426855,0.08536340810219412,0.14239838555119733,1.56640625
welfare_1536_confirm24,16,action_only_adaptive_base_stock,29161,1199016,32,48,1536,welfare,-3.775371708917311,-3.674801116132192,-3.674801116132192,4.274233149611933,4.274233149611933,0.9996848635599677,0.29299927568157064,8.572535278237167,22.977922759979517,0.0,0.0,1.2682291666666667
welfare_1536_confirm24,17,full_ndu_inventory,30061,1199017,32,48,1536,welfare,-3.770120449522795,-3.7194145168734014,-3.7183146117344577,4.3215428931466064,4.320442988007664,0.9996849923466508,0.2813918541634431,8.809486580715225,22.882357076555564,0.12483776590589885,0.13220253398631363,1.1783854166666667
welfare_1536_confirm24,17,action_only_adaptive_base_stock,30161,1199017,32,48,1536,welfare,-3.7768829715481096,-3.7090266602559794,-3.7090266602559794,4.305092544081101,4.305092544081101,0.9996986651656403,0.2678810181980008,8.449023591875312,22.8866698625741,0.0,0.0,1.3841145833333333
welfare_1536_confirm24,18,full_ndu_inventory,31061,1199018,32,48,1536,welfare,-3.717291283122114,-3.680907871751176,-3.6798255216249665,4.279794277591281,4.278711927465071,0.9997729101050131,0.2075984249659356,8.508501665275311,22.939247912048472,0.13017465908407352,0.13183177567116913,1.3098958333333333
welfare_1536_confirm24,18,action_only_adaptive_base_stock,31161,1199018,32,48,1536,welfare,-3.6350885996558566,-3.686978060812491,-3.686978060812491,4.282568297980556,4.282568297980556,0.9996831546460081,0.2897292332936086,8.406114217484172,22.917979441950038,0.0,0.0,1.3958333333333333
welfare_1536_confirm24,19,full_ndu_inventory,32061,1199019,32,48,1536,welfare,-3.6613841050556366,-3.6975673685680293,-3.6958463683419978,4.294988095072991,4.293267094846959,0.9997605986256203,0.22428671082813564,8.436283380082214,22.98927440109158,0.1505251438141697,0.16076743747533737,1.35546875
welfare_1536_confirm24,19,action_only_adaptive_base_stock,32161,1199019,32,48,1536,welfare,-3.80984744333572,-3.713847788107435,-3.713847788107435,4.318500232230039,4.318500232230039,0.9998149539528255,0.1759578272325927,8.882988198902884,23.005378211561084,0.0,0.0,1.12890625
welfare_1536_confirm24,20,full_ndu_inventory,33061,1199020,32,48,1536,welfare,-3.599704025239118,-3.6729193390145483,-3.671701824592283,4.263925119787248,4.262707605364984,0.9996179100965875,0.3514908801808038,8.066618376404302,22.911695937724716,0.07635769755000682,0.14303348218167894,1.53125
welfare_1536_confirm24,20,action_only_adaptive_base_stock,33161,1199020,32,48,1536,welfare,-3.6171417357220492,-3.6822329368285818,-3.6822329368285818,4.275689937492525,4.275689937492525,0.9997290000829929,0.24785937587629467,8.195969288973204,22.937958121611654,0.0,0.0,1.4791666666666667
welfare_1536_confirm24,21,full_ndu_inventory,34061,1199021,32,48,1536,welfare,-3.6755325621641823,-3.728270963916002,-3.7273899843338647,4.320838751675534,4.319957772093399,0.9994908953449416,0.4635228664781709,8.401920278305305,22.843827863937296,0.08330868408024396,0.1115376987012489,1.4453125
welfare_1536_confirm24,21,action_only_adaptive_base_stock,34161,1199021,32,48,1536,welfare,-3.747516674203261,-3.7351150278804552,-3.7351150278804552,4.336287179830227,4.336287179830227,0.9996435893062214,0.32549090913607964,8.895227550564679,22.87083458122122,0.0,0.0,1.19921875
welfare_1536_confirm24,22,full_ndu_inventory,35061,1199022,32,48,1536,welfare,-3.748402444236822,-3.690062007417166,-3.6884347986069663,4.300548224245257,4.298921015435057,0.9998556989785113,0.1269780287763224,9.125071745601877,23.024434635714613,0.14340667450102987,0.15603974741757637,0.9453125
welfare_1536_confirm24,22,action_only_adaptive_base_stock,35161,1199022,32,48,1536,welfare,-3.660188263679258,-3.6681116044646047,-3.6681116044646047,4.268983235866738,4.268983235866738,0.9997769226752666,0.19861672850290477,8.550197159779653,22.99672545560394,0.0,0.0,1.2447916666666667
welfare_1536_confirm24,23,full_ndu_inventory,36061,1199023,32,48,1536,welfare,-3.669411081700017,-3.6933553873951817,-3.6927244483491637,4.292621435824238,4.291990496778219,0.9997764201161319,0.20304418922441725,8.54760995300902,22.996592726427888,0.07668606704851957,0.0988701341261895,1.2981770833333333
welfare_1536_confirm24,23,action_only_adaptive_base_stock,36161,1199023,32,48,1536,welfare,-3.6123390445320602,-3.6844461507453197,-3.6844461507453197,4.28181476077726,4.28181476077726,0.9997540840664926,0.22549718603274185,8.458017111277359,22.99032215902317,0.0,0.0,1.35546875
